Time Elapsed,ID,X-Coord,Y-Coord
1505.0,5141658896,28.739,35.604
1506.0,5144082512,10.595,37.462
1506.0,5144660752,29.186,36.396
1506.0,5144808976,5.346,34.711
1506.0,5144668304,26.355,1.587
1506.0,5144752464,34.881,16.716
1506.0,5144920144,28.113,15.371
1506.0,5144976400,25.483,26.494
1506.0,5144669008,11.395,21.438
1506.0,5142859728,20.638,39.289
1506.0,5145292880,21.946,26.783
1506.0,5145367888,6.712,13.437
1506.0,5145153488,2.453,11.755
1506.0,5145376528,32.907,34.893
1506.0,5141658896,28.739,35.604
1507.0,5144082512,10.595,37.462
1507.0,5144660752,29.186,36.396
1507.0,5144808976,5.346,34.711
1507.0,5144668304,26.355,1.587
1507.0,5144752464,34.881,16.716
1507.0,5144920144,28.113,15.371
1507.0,5144976400,25.483,26.494
1507.0,5144669008,11.395,21.438
1507.0,5142859728,20.638,39.289
1507.0,5145292880,21.946,26.783
1507.0,5145367888,6.712,13.437
1507.0,5145153488,2.453,11.755
1507.0,5145376528,32.907,34.893
1507.0,5141658896,28.739,35.604
1508.0,5144082512,10.595,37.462
1508.0,5144660752,29.186,36.396
1508.0,5144808976,5.346,34.711
1508.0,5144668304,26.355,1.587
1508.0,5144752464,34.881,16.716
1508.0,5144920144,28.113,15.371
1508.0,5144976400,25.483,26.494
1508.0,5144669008,11.395,21.438
1508.0,5142859728,20.638,39.289
1508.0,5145292880,21.946,26.783
1508.0,5145367888,6.712,13.437
1508.0,5145153488,2.453,11.755
1508.0,5145376528,32.907,34.893
1508.0,5141658896,28.739,35.604
1509.0,5144082512,10.595,37.462
1509.0,5144660752,29.186,36.396
1509.0,5144668304,26.355,1.587
1509.0,5144752464,34.881,16.716
1509.0,5144920144,28.113,15.371
1509.0,5144976400,25.483,26.494
1509.0,5144669008,11.395,21.438
1509.0,5142859728,20.638,39.289
1509.0,5145292880,21.946,26.783
1509.0,5145367888,6.712,13.437
1509.0,5145153488,2.453,11.755
1509.0,5145376528,32.907,34.893
1509.0,5141658896,28.739,35.604
1510.0,5144082512,10.595,37.462
1510.0,5144660752,29.186,36.396
1510.0,5144668304,26.355,1.587
1510.0,5144752464,34.881,16.716
1510.0,5144920144,28.113,15.371
1510.0,5144976400,25.483,26.494
1510.0,5144669008,11.395,21.438
1510.0,5142859728,20.638,39.289
1510.0,5145292880,21.946,26.783
1510.0,5145367888,6.712,13.437
1510.0,5145153488,2.453,11.755
1510.0,5145376528,32.907,34.893
1510.0,5141658896,28.739,35.604
1511.0,5144082512,10.595,37.462
1511.0,5144660752,29.186,36.396
1511.0,5144668304,26.355,1.587
1511.0,5144920144,28.113,15.371
1511.0,5144976400,25.483,26.494
1511.0,5144669008,11.395,21.438
1511.0,5142859728,20.638,39.289
1511.0,5145292880,21.946,26.783
1511.0,5145367888,6.712,13.437
1511.0,5145153488,2.453,11.755
1511.0,5145376528,32.907,34.893
1511.0,5141658896,28.739,35.604
1511.0,5137977296,37.812,6.027
1512.0,5144082512,10.595,37.462
1512.0,5144660752,29.186,36.396
1512.0,5144668304,26.355,1.587
1512.0,5144920144,28.113,15.371
1512.0,5144976400,25.483,26.494
1512.0,5144669008,11.395,21.438
1512.0,5142859728,20.638,39.289
1512.0,5145292880,21.946,26.783
1512.0,5145367888,6.712,13.437
1512.0,5145153488,2.453,11.755
1512.0,5145376528,32.907,34.893
1512.0,5141658896,28.739,35.604
1513.0,5144082512,10.595,37.462
1513.0,5144660752,29.186,36.396
1513.0,5144668304,26.355,1.587
1513.0,5144920144,28.113,15.371
1513.0,5144976400,25.483,26.494
1513.0,5144669008,11.395,21.438
1513.0,5142859728,20.638,39.289
1513.0,5145292880,21.946,26.783
1513.0,5145367888,6.712,13.437
1513.0,5145153488,2.453,11.755
1513.0,5145376528,32.907,34.893
1513.0,5141658896,28.739,35.604
1513.0,5145496912,35.868,32.299
1514.0,5144082512,10.595,37.462
1514.0,5144660752,29.186,36.396
1514.0,5144668304,26.355,1.587
1514.0,5144920144,28.113,15.371
1514.0,5144976400,25.483,26.494
1514.0,5144669008,11.395,21.438
1514.0,5142859728,20.638,39.289
1514.0,5145292880,21.946,26.783
1514.0,5145153488,2.453,11.755
1514.0,5145376528,32.907,34.893
1514.0,5141658896,28.739,35.604
1514.0,5145496912,35.868,32.299
1515.0,5144082512,10.595,37.462
1515.0,5144660752,29.186,36.396
1515.0,5144668304,26.355,1.587
1515.0,5144920144,28.113,15.371
1515.0,5144976400,25.483,26.494
1515.0,5144669008,11.395,21.438
1515.0,5142859728,20.638,39.289
1515.0,5145292880,21.946,26.783
1515.0,5145153488,2.453,11.755
1515.0,5145376528,32.907,34.893
1515.0,5141658896,28.739,35.604
1515.0,5145496912,35.868,32.299
1515.0,5145501520,33.634,0.26
1515.0,5145427536,16.585,9.091
1516.0,5144082512,10.595,37.462
1516.0,5144660752,29.186,36.396
1516.0,5144668304,26.355,1.587
1516.0,5144920144,28.113,15.371
1516.0,5144976400,25.483,26.494
1516.0,5144669008,11.395,21.438
1516.0,5142859728,20.638,39.289
1516.0,5145292880,21.946,26.783
1516.0,5145153488,2.453,11.755
1516.0,5145376528,32.907,34.893
1516.0,5141658896,28.739,35.604
1516.0,5145496912,35.868,32.299
1516.0,5145501520,33.634,0.26
1516.0,5145427536,16.585,9.091
1516.0,5145506064,36.805,28.374
1516.0,5145502736,7.017,31.305
1517.0,5144082512,10.595,37.462
1517.0,5144660752,29.186,36.396
1517.0,5144920144,28.113,15.371
1517.0,5144976400,25.483,26.494
1517.0,5144669008,11.395,21.438
1517.0,5142859728,20.638,39.289
1517.0,5145153488,2.453,11.755
1517.0,5145376528,32.907,34.893
1517.0,5141658896,28.739,35.604
1517.0,5145496912,35.868,32.299
1517.0,5145501520,33.634,0.26
1517.0,5145427536,16.585,9.091
1517.0,5145506064,36.805,28.374
1517.0,5145502736,7.017,31.305
1518.0,5144082512,10.595,37.462
1518.0,5144660752,29.186,36.396
1518.0,5144920144,28.113,15.371
1518.0,5144976400,25.483,26.494
1518.0,5144669008,11.395,21.438
1518.0,5142859728,20.638,39.289
1518.0,5145153488,2.453,11.755
1518.0,5145376528,32.907,34.893
1518.0,5141658896,28.739,35.604
1518.0,5145496912,35.868,32.299
1518.0,5145501520,33.634,0.26
1518.0,5145427536,16.585,9.091
1518.0,5145506064,36.805,28.374
1518.0,5145502736,7.017,31.305
1519.0,5144660752,29.186,36.396
1519.0,5144920144,28.113,15.371
1519.0,5144976400,25.483,26.494
1519.0,5144669008,11.395,21.438
1519.0,5142859728,20.638,39.289
1519.0,5145153488,2.453,11.755
1519.0,5145376528,32.907,34.893
1519.0,5141658896,28.739,35.604
1519.0,5145496912,35.868,32.299
1519.0,5145501520,33.634,0.26
1519.0,5145427536,16.585,9.091
1519.0,5145506064,36.805,28.374
1519.0,5145502736,7.017,31.305
1520.0,5144660752,29.186,36.396
1520.0,5144920144,28.113,15.371
1520.0,5144976400,25.483,26.494
1520.0,5144669008,11.395,21.438
1520.0,5142859728,20.638,39.289
1520.0,5145153488,2.453,11.755
1520.0,5145376528,32.907,34.893
1520.0,5141658896,28.739,35.604
1520.0,5145496912,35.868,32.299
1520.0,5145501520,33.634,0.26
1520.0,5145427536,16.585,9.091
1520.0,5145506064,36.805,28.374
1520.0,5145502736,7.017,31.305
1520.0,5145550224,2.261,32.689
1521.0,5144660752,29.186,36.396
1521.0,5144920144,28.113,15.371
1521.0,5144976400,25.483,26.494
1521.0,5144669008,11.395,21.438
1521.0,5142859728,20.638,39.289
1521.0,5145153488,2.453,11.755
1521.0,5145376528,32.907,34.893
1521.0,5141658896,28.739,35.604
1521.0,5145496912,35.868,32.299
1521.0,5145501520,33.634,0.26
1521.0,5145427536,16.585,9.091
1521.0,5145506064,36.805,28.374
1521.0,5145502736,7.017,31.305
1521.0,5145550224,2.261,32.689
1521.0,5145553936,21.119,37.81
1522.0,5144660752,29.186,36.396
1522.0,5144976400,25.483,26.494
1522.0,5144669008,11.395,21.438
1522.0,5142859728,20.638,39.289
1522.0,5145153488,2.453,11.755
1522.0,5145376528,32.907,34.893
1522.0,5141658896,28.739,35.604
1522.0,5145496912,35.868,32.299
1522.0,5145501520,33.634,0.26
1522.0,5145427536,16.585,9.091
1522.0,5145506064,36.805,28.374
1522.0,5145502736,7.017,31.305
1522.0,5145550224,2.261,32.689
1522.0,5145553936,21.119,37.81
1522.0,5144920144,0.674,9.863
1523.0,5144660752,29.186,36.396
1523.0,5144976400,25.483,26.494
1523.0,5144669008,11.395,21.438
1523.0,5142859728,20.638,39.289
1523.0,5145153488,2.453,11.755
1523.0,5145376528,32.907,34.893
1523.0,5141658896,28.739,35.604
1523.0,5145496912,35.868,32.299
