Time Elapsed/s,ID,X-Coord,Y-Coord,Energy
427.0,5127831184,15.864,10.005,57.7
427.0,5126333264,27.039,17.092,113.4
427.0,5129194448,34.158,19.853,68.3
427.0,5128077392,28.14,7.12,25.7
427.0,5125945168,29.876,12.494,28.0
427.0,5127274960,8.009,13.46,78.5
427.0,5127702224,16.78,24.207,31.1
427.0,5127830224,23.403,25.953,32.4
427.0,5128420176,10.209,19.109,84.1
427.0,5126179088,0.843,33.245,54.2
427.0,5128090576,30.549,6.324,85.3
427.0,5128650000,29.367,4.513,35.8
427.0,5127765264,5.32,35.828,88.2
427.0,5126292624,11.465,33.581,41.1
427.0,5127487568,30.691,39.293,43.9
427.0,5127340112,23.053,29.789,47.4
427.0,5126002256,37.728,13.967,0.4
427.0,5128695440,12.277,33.715,54.1
427.0,5129957712,19.727,23.588,6.0
427.0,5127082512,13.701,22.416,6.7
427.0,5126187856,18.085,6.097,57.7
427.0,5126032400,17.316,18.31,57.9
427.0,5128754512,35.035,19.483,8.3
427.0,5126695056,11.889,31.655,9.7
427.0,5126699344,35.615,26.431,12.8
427.0,5130415312,14.627,5.355,113.8
427.0,5127495696,1.164,14.371,65.2
427.0,5126639568,16.273,28.234,16.1
427.0,5126692112,31.15,7.568,67.8
427.0,5125871632,7.245,17.442,68.7
427.0,5127139280,1.521,29.602,122.9
427.0,5130168336,32.006,16.406,124.8
427.0,5127545168,24.385,34.142,75.8
427.0,5127753680,28.145,8.872,76.5
427.0,5129665488,13.654,34.808,79.7
427.0,5127663824,13.26,30.982,38.5
427.0,5131325392,13.632,30.469,92.9
427.0,5128483280,2.392,17.002,146.3
427.0,5130604176,18.578,38.886,81.5
427.0,5132681872,3.002,31.461,97.2
428.0,4301760784,23.807,15.471,22.0
428.0,5127078352,18.983,29.606,74.4
428.0,5126636368,16.609,15.898,38.2
428.0,5126096784,23.224,20.156,29.1
428.0,5126039824,23.558,37.121,94.9
428.0,5127662864,37.825,14.398,2.1
428.0,5126144080,20.961,16.631,54.8
428.0,5127831184,15.047,10.275,56.7
428.0,5126333264,26.128,17.362,112.4
428.0,5129194448,34.18,20.828,67.3
428.0,5128077392,27.714,6.669,24.7
428.0,5125945168,30.403,13.302,27.0
428.0,5127274960,7.984,14.385,77.5
428.0,5127702224,15.999,24.633,30.1
428.0,5127830224,24.298,25.577,31.4
428.0,5128420176,9.366,19.253,83.1
428.0,5126179088,0.303,32.452,53.2
428.0,5128090576,30.252,7.191,84.3
428.0,5128650000,29.247,3.633,34.8
428.0,5127765264,5.957,35.466,87.2
428.0,5126292624,12.42,33.678,40.1
428.0,5127487568,29.899,38.741,42.9
428.0,5127340112,23.844,29.43,46.4
428.0,5128695440,12.13,33.042,53.1
428.0,5129957712,19.528,22.64,5.0
428.0,5127082512,13.411,21.512,5.7
428.0,5126187856,17.679,6.914,56.7
428.0,5126032400,18.061,18.891,56.9
428.0,5128754512,34.579,18.618,7.3
428.0,5126695056,12.331,32.465,8.7
428.0,5126699344,36.317,25.772,11.8
428.0,5130415312,15.169,6.151,112.8
428.0,5127495696,2.022,14.01,64.2
428.0,5126639568,15.414,28.261,15.1
428.0,5126692112,30.218,7.45,66.8
428.0,5125871632,7.839,16.687,67.7
428.0,5127139280,0.845,29.752,121.9
428.0,5130168336,32.879,16.487,123.8
428.0,5127545168,24.103,35.07,74.8
428.0,5127753680,27.987,9.7,125.5
428.0,5129665488,12.867,34.389,78.7
428.0,5127663824,13.536,31.851,37.5
428.0,5131325392,12.662,30.33,91.9
428.0,5128483280,2.154,17.743,145.3
428.0,5130604176,18.305,39.616,80.5
428.0,5132681872,3.389,31.965,96.2
429.0,4301760784,23.363,14.622,21.0
429.0,5127078352,19.789,29.879,73.4
429.0,5126636368,17.126,15.107,37.2
429.0,5126096784,22.287,19.994,28.1
429.0,5126039824,24.389,37.489,93.9
429.0,5127662864,38.526,14.886,1.1
429.0,5126144080,21.291,15.744,53.8
429.0,5127831184,14.224,10.224,55.7
429.0,5126333264,25.351,17.782,111.4
429.0,5129194448,34.626,21.659,66.3
429.0,5128077392,26.91,7.194,23.7
429.0,5125945168,31.15,13.043,26.0
429.0,5127274960,8.332,15.244,76.5
429.0,5127702224,15.105,24.934,29.1
429.0,5127830224,25.042,26.146,30.4
429.0,5128420176,8.884,19.867,82.1
429.0,5126179088,0.668,32.541,52.2
429.0,5128090576,30.763,7.365,83.3
429.0,5128650000,28.402,3.142,33.8
429.0,5127765264,6.912,35.418,86.2
429.0,5126292624,13.291,33.432,39.1
429.0,5127487568,28.994,38.457,41.9
429.0,5127340112,24.718,29.117,45.4
429.0,5128695440,12.112,32.177,52.1
429.0,5129957712,18.618,22.533,4.0
429.0,5127082512,13.021,20.645,4.7
429.0,5126187856,17.917,7.822,55.7
429.0,5126032400,18.791,19.375,55.9
429.0,5128754512,33.759,18.104,6.3
429.0,5126695056,12.634,33.341,7.7
429.0,5126699344,35.61,25.882,10.8
429.0,5130415312,15.735,6.817,111.8
429.0,5127495696,2.001,13.49,63.2
429.0,5126639568,14.451,28.201,14.1
429.0,5126692112,29.357,7.903,115.8
429.0,5125871632,7.913,15.736,66.7
429.0,5127139280,1.614,29.505,120.9
429.0,5130168336,33.843,16.411,122.8
429.0,5127545168,23.365,34.754,73.8
429.0,5127753680,27.755,10.618,124.5
429.0,5129665488,12.289,35.045,77.7
429.0,5127663824,14.111,32.62,36.5
429.0,5131325392,11.746,30.071,90.9
429.0,5128483280,1.49,18.019,144.3
429.0,5130604176,17.544,39.091,79.5
429.0,5132681872,3.799,31.081,95.2
430.0,4301760784,22.475,14.683,20.0
430.0,5127078352,20.66,29.502,72.4
430.0,5126636368,17.03,14.375,36.2
430.0,5126096784,21.521,20.49,27.1
430.0,5126039824,25.193,37.995,92.9
430.0,5127662864,38.438,15.707,0.1
430.0,5126144080,22.069,15.168,52.8
430.0,5127831184,13.43,9.668,54.7
430.0,5126333264,24.521,17.997,110.4
430.0,5129194448,35.447,22.192,65.3
430.0,5128077392,26.224,7.812,22.7
430.0,5125945168,31.941,12.873,25.0
430.0,5127274960,8.698,16.019,75.5
430.0,5127702224,14.23,25.192,28.1
430.0,5127830224,25.653,25.443,29.4
430.0,5128420176,8.051,19.492,81.1
430.0,5126179088,1.474,32.933,51.2
430.0,5128090576,31.275,6.555,82.3
430.0,5128650000,27.517,2.901,32.8
430.0,5127765264,7.436,35.732,85.2
430.0,5126292624,14.003,34.084,38.1
430.0,5127487568,28.355,37.738,40.9
430.0,5127340112,25.659,29.089,44.4
430.0,5128695440,11.514,31.415,51.1
430.0,5129957712,17.905,22.021,3.0
430.0,5127082512,13.257,19.729,3.7
430.0,5126187856,17.516,8.565,54.7
430.0,5126032400,19.473,20.038,54.9
430.0,5128754512,33.62,17.315,5.3
430.0,5126695056,13.556,33.457,6.7
430.0,5126699344,34.789,26.18,9.8
430.0,5130415312,15.702,7.722,110.8
430.0,5127495696,2.046,12.543,62.2
430.0,5126639568,13.486,28.265,13.1
430.0,5126692112,28.411,7.81,114.8
430.0,5125871632,8.316,14.853,65.7
430.0,5127139280,2.306,29.039,119.9
430.0,5130168336,34.335,15.58,121.8
430.0,5127545168,22.474,34.661,72.8
430.0,5127753680,27.093,11.082,123.5
430.0,5129665488,12.559,35.919,76.7
430.0,5127663824,15.047,32.435,35.5
430.0,5131325392,10.967,30.525,89.9
430.0,5128483280,1.538,18.831,143.3
430.0,5130604176,16.625,38.824,78.5
430.0,5132681872,3.89,30.176,94.2
431.0,4301760784,21.984,15.293,19.0
431.0,5127078352,21.483,29.313,71.4
431.0,5126636368,16.287,13.77,35.2
431.0,5126096784,20.8,21.106,26.1
431.0,5126039824,25.598,37.606,91.9
431.0,5126144080,22.851,14.637,51.8
431.0,5127831184,13.373,8.913,53.7
431.0,5126333264,24.357,18.924,109.4
431.0,5129194448,35.943,21.748,64.3
431.0,5128077392,25.347,7.623,71.7
431.0,5125945168,32.65,13.171,24.0
431.0,5127274960,9.446,15.84,74.5
431.0,5127702224,13.266,25.126,27.1
431.0,5127830224,25.165,24.689,28.4
431.0,5128420176,7.603,18.7,80.1
431.0,5126179088,1.866,32.126,50.2
431.0,5128090576,32.033,6.01,81.3
431.0,5128650000,27.077,3.557,31.8
431.0,5127765264,7.118,36.512,84.2
431.0,5126292624,14.582,34.782,37.1
431.0,5127487568,27.716,37.016,39.9
431.0,5127340112,25.574,29.946,43.4
431.0,5128695440,10.702,30.893,50.1
431.0,5129957712,17.304,22.711,2.0
431.0,5127082512,13.744,18.895,2.7
431.0,5126187856,16.682,8.853,53.7
431.0,5126032400,20.242,19.933,53.9
431.0,5128754512,34.318,16.685,4.3
431.0,5126695056,14.228,32.776,5.7
431.0,5126699344,34.35,27.028,58.8
431.0,5130415312,14.865,8.137,109.8
431.0,5127495696,2.44,11.719,61.2
431.0,5126639568,13.614,27.436,12.1
431.0,5126692112,27.82,7.16,113.8
431.0,5125871632,9.088,14.501,64.7
431.0,5127139280,3.189,28.763,118.9
431.0,5130168336,35.02,14.888,120.8
431.0,5127545168,21.541,34.88,71.8
431.0,5127753680,26.628,10.273,122.5
431.0,5129665488,12.895,36.773,75.7
431.0,5127663824,16.024,32.316,34.5
431.0,5131325392,10.284,30.808,88.9
431.0,5128483280,0.865,19.485,142.3
431.0,5130604176,15.852,38.45,77.5
431.0,5132681872,4.551,29.527,93.2
432.0,4301760784,22.716,15.882,68.0
432.0,5127078352,22.432,29.445,70.4
432.0,5126636368,16.78,13.096,34.2
432.0,5126096784,19.938,21.444,25.1
432.0,5126039824,25.269,36.918,90.9
432.0,5126144080,23.662,14.858,50.8
432.0,5127831184,13.37,8.106,52.7
432.0,5126333264,23.479,19.026,108.4
432.0,5129194448,35.37,20.974,63.3
432.0,5128077392,25.26,6.777,70.7
432.0,5125945168,33.136,12.325,23.0
432.0,5127274960,9.952,15.025,73.5
432.0,5127702224,12.367,24.931,26.1
432.0,5127830224,25.969,24.408,27.4
432.0,5128420176,8.039,18.01,79.1
432.0,5126179088,1.499,31.265,49.2
432.0,5128090576,32.822,6.512,80.3
432.0,5128650000,27.515,3.088,30.8
432.0,5127765264,7.966,36.688,83.2
432.0,5126292624,15.233,35.344,36.1
432.0,5127487568,26.805,36.767,38.9
432.0,5127340112,24.758,30.409,42.4
432.0,5128695440,9.808,30.888,49.1
432.0,5129957712,16.83,23.532,1.0
432.0,5127082512,13.912,17.936,1.7
432.0,5126187856,16.97,9.725,52.7
432.0,5126032400,20.445,19.042,52.9
432.0,5128754512,35.009,16.035,3.3
432.0,5126695056,14.936,32.278,4.7
432.0,5126699344,33.545,27.457,57.8
432.0,5130415312,14.237,8.82,108.8
432.0,5127495696,3.026,11.0,60.2
432.0,5126639568,14.064,26.588,11.1
432.0,5126692112,27.259,6.403,112.8
432.0,5125871632,9.254,13.586,63.7
432.0,5127139280,3.894,28.384,117.9
432.0,5130168336,35.626,14.369,119.8
432.0,5127545168,20.888,35.487,70.8
432.0,5127753680,27.027,9.431,121.5
432.0,5129665488,12.31,37.43,74.7
432.0,5127663824,16.428,32.866,33.5
432.0,5131325392,9.631,30.09,87.9
432.0,5128483280,0.141,19.817,141.3
432.0,5130604176,14.994,38.746,76.5
432.0,5132681872,4.998,28.874,92.2
433.0,4301760784,23.545,16.323,67.0
433.0,5127078352,22.926,30.152,69.4
433.0,5126636368,17.734,13.328,33.2
433.0,5126096784,19.026,21.199,24.1
433.0,5126039824,26.132,36.485,89.9
433.0,5126144080,23.868,15.772,49.8
433.0,5127831184,13.149,7.331,51.7
433.0,5126333264,23.219,18.145,107.4
433.0,5129194448,35.296,20.01,62.3
433.0,5128077392,24.396,6.885,69.7
433.0,5125945168,33.758,11.602,22.0
433.0,5127274960,9.516,14.211,72.5
433.0,5127702224,11.465,25.169,25.1
433.0,5127830224,26.598,23.702,26.4
433.0,5128420176,8.58,18.821,78.1
433.0,5126179088,1.278,30.304,48.2
433.0,5128090576,33.639,6.065,79.3
433.0,5128650000,27.193,2.26,29.8
433.0,5127765264,8.922,36.903,82.2
433.0,5126292624,16.01,35.15,35.1
433.0,5127487568,25.964,37.065,37.9
433.0,5127340112,23.818,30.334,41.4
433.0,5128695440,8.897,31.018,48.1
433.0,5129957712,16.412,23.049,0.0
433.0,5127082512,14.098,17.026,0.7
433.0,5126187856,17.795,9.445,51.7
433.0,5126032400,19.695,18.66,51.9
433.0,5128754512,35.812,16.359,2.3
433.0,5126695056,15.896,32.191,3.7
433.0,5126699344,32.738,27.882,56.8
433.0,5130415312,13.396,9.222,107.8
433.0,5127495696,3.233,10.141,59.2
433.0,5126639568,13.55,25.862,10.1
433.0,5126692112,27.101,5.505,111.8
433.0,5125871632,8.687,13.892,62.7
433.0,5127139280,4.507,29.085,116.9
433.0,5130168336,35.18,13.562,118.8
433.0,5127545168,20.289,34.863,69.8
433.0,5127753680,27.403,10.251,120.5
433.0,5129665488,11.602,37.111,73.7
433.0,5127663824,15.858,33.592,32.5
433.0,5131325392,8.759,29.714,86.9
433.0,5128483280,1.114,19.923,140.3
433.0,5130604176,14.264,39.317,75.5
433.0,5132681872,4.092,28.629,91.2
434.0,4301760784,24.056,15.673,66.0
434.0,5127078352,23.128,31.056,68.4
434.0,5126636368,18.112,14.161,32.2
434.0,5126096784,19.205,20.255,23.1
434.0,5126039824,26.293,35.632,88.9
434.0,5126144080,23.067,16.199,48.8
434.0,5127831184,14.072,7.013,50.7
434.0,5126333264,23.838,17.444,106.4
434.0,5129194448,35.818,19.332,61.3
434.0,5128077392,23.59,7.331,68.7
434.0,5125945168,34.536,11.029,21.0
434.0,5127274960,8.821,13.559,71.5
434.0,5127702224,10.731,25.048,24.1
434.0,5127830224,26.173,23.304,25.4
434.0,5128420176,9.01,19.662,77.1
