,Time Elapsed/s,Agent Population,Food Population
350,120.39999999999743,33.0,43.0
351,120.79999999999741,33.0,42.0
352,120.8999999999974,33.0,42.0
353,120.8999999999974,33.0,43.0
354,120.9999999999974,33.0,42.0
355,121.49999999999737,33.0,42.0
356,121.49999999999737,33.0,43.0
357,121.59999999999737,33.0,42.0
358,121.89999999999735,33.0,42.0
359,121.89999999999735,33.0,43.0
360,122.19999999999733,33.0,42.0
361,123.49999999999726,33.0,42.0
362,123.49999999999726,33.0,43.0
363,124.09999999999722,33.0,42.0
364,124.19999999999722,33.0,42.0
365,124.19999999999722,33.0,43.0
366,124.29999999999721,33.0,42.0
367,124.29999999999721,33.0,42.0
368,124.29999999999721,33.0,43.0
369,124.3999999999972,33.0,42.0
370,124.3999999999972,33.0,41.0
371,124.3999999999972,34.0,41.0
372,124.3999999999972,34.0,40.0
373,124.69999999999719,34.0,39.0
374,124.69999999999719,35.0,39.0
375,125.09999999999717,35.0,39.0
376,125.09999999999717,35.0,40.0
377,125.19999999999716,35.0,40.0
378,125.19999999999716,35.0,41.0
379,125.39999999999715,35.0,41.0
380,125.39999999999715,35.0,42.0
381,125.99999999999712,35.0,42.0
382,125.99999999999712,35.0,43.0
383,126.1999999999971,35.0,43.0
384,126.1999999999971,35.0,44.0
385,126.2999999999971,35.0,43.0
386,126.2999999999971,36.0,43.0
387,127.29999999999704,36.0,43.0
388,127.29999999999704,36.0,44.0
389,127.999999999997,36.0,44.0
390,127.999999999997,36.0,45.0
391,128.099999999997,36.0,45.0
392,128.099999999997,36.0,46.0
393,128.399999999997,36.0,46.0
394,128.399999999997,36.0,47.0
395,128.59999999999698,36.0,46.0
396,131.09999999999684,36.0,46.0
397,131.09999999999684,36.0,47.0
398,131.29999999999683,36.0,47.0
399,131.29999999999683,36.0,48.0
400,131.39999999999682,36.0,47.0
401,131.6999999999968,36.0,46.0
402,131.6999999999968,37.0,46.0
403,131.7999999999968,37.0,45.0
404,131.9999999999968,37.0,44.0
405,132.69999999999675,37.0,43.0
406,132.69999999999675,38.0,43.0
407,132.89999999999674,38.0,42.0
408,132.99999999999673,38.0,41.0
409,132.99999999999673,39.0,41.0
410,133.4999999999967,39.0,40.0
411,133.5999999999967,39.0,40.0
412,133.5999999999967,39.0,41.0
413,133.6999999999967,39.0,40.0
414,134.09999999999667,39.0,40.0
415,134.09999999999667,39.0,41.0
416,134.79999999999663,39.0,40.0
417,134.79999999999663,40.0,40.0
418,134.99999999999662,40.0,39.0
419,135.2999999999966,40.0,39.0
420,135.2999999999966,40.0,40.0
421,135.3999999999966,40.0,40.0
422,135.3999999999966,40.0,41.0
423,135.99999999999656,40.0,40.0
424,135.99999999999656,40.0,40.0
425,135.99999999999656,40.0,41.0
426,137.59999999999647,40.0,40.0
427,137.79999999999646,40.0,40.0
428,137.79999999999646,40.0,41.0
429,138.19999999999644,40.0,40.0
430,138.19999999999644,41.0,40.0
